Date,Open,High,Low,Close,AdjClose,Volume,SMA_20,Upper_Band,Lower_Band,MACD,MACD_Signal,RSI,Risk_Level
2020-04-08,374.0100098,378.3900146,368.3099976,371.1199951,371.1199951,6908900,349.8149963,397.5925593,302.0374334,5.100405423,2.09671402,53.9743858,Medium
2020-04-09,371.0599976,372.1000061,363.0299988,370.7200012,370.7200012,7711300,352.5884964,398.31362,306.8633728,5.189792341,2.715329684,53.82588405,Medium
2020-04-13,371.3099976,400.5100098,367.7000122,396.7200012,396.7200012,11692900,355.6094971,404.6658197,306.5531745,7.274755968,3.627214941,61.28270217,High
2020-04-14,397.5,417.8200073,394.8500061,413.5499878,413.5499878,11581000,361.3449966,409.2646407,313.4253526,10.16793431,4.935358815,65.20034634,High
2020-04-15,413,434.980011,412.25,426.75,426.75,13561200,366.6949966,418.7730941,314.6168992,13.37178801,6.622644653,67.94036645,High
2020-04-16,437,449.519989,431.6099854,439.1700134,439.1700134,16128700,372.8799973,428.5976168,317.1623777,16.72031505,8.642178732,70.30919291,High
2020-04-17,431,432,414.7000122,422.9599915,422.9599915,12616300,377.4264969,433.9429549,320.9100389,17.86015283,10.48577355,63.69431842,High
2020-04-20,435.1700134,444.4899902,430.5599976,437.4899902,437.4899902,12655800,382.6594971,441.1368634,324.1821307,19.70874184,12.33036721,66.71703968,High
2020-04-21,444.769989,447,425.6000061,433.8299866,433.8299866,23177600,386.3374969,448.0493683,324.6256256,20.64049942,13.99239365,65.2435015,High
2020-04-22,429.730011,433,413,421.4200134,421.4200134,21084800,389.5424973,451.566286,327.5187085,20.14532018,15.22297896,60.37437271,High
2020-04-23,419.2600098,438.4100037,419.2600098,426.7000122,426.7000122,13952300,393.7579971,453.7139982,333.8019961,19.94897942,16.16817905,61.68456613,High
2020-04-24,425,427.1700134,415.8800049,424.9899902,424.9899902,8658900,396.8579971,456.5263735,337.1896207,19.43140039,16.82082332,60.98131794,High
2020-04-27,425,429,420.8399963,421.3800049,421.3800049,6277500,400.0709976,457.6122863,342.5297089,18.51647325,17.1599533,59.44066714,Medium
2020-04-28,419.9899902,421,402.9100037,403.8299866,403.8299866,10101200,401.7144974,457.60896,345.8200347,16.18863459,16.96568956,52.49686138,Medium
2020-04-29,399.5299988,415.8599854,393.6000061,411.8900146,411.8900146,9693100,403.5339981,458.1908928,348.8771034,14.82330872,16.53721339,55.0915521,Medium
2020-04-30,410.3099976,424.4400024,408,419.8500061,419.8500061,7954000,406.3224991,458.1199081,354.5250901,14.21966743,16.0737042,57.55718386,Medium
2020-05-01,415.1000061,427.9700012,411.730011,415.269989,415.269989,8299900,408.5819992,457.5901533,359.5738451,13.21932412,15.50282819,55.66348995,Medium
2020-05-04,417.7799988,428.5400085,414.8699951,428.1499939,428.1499939,7799100,411.9014984,456.3366013,367.4663955,13.31239658,15.06474186,59.68097172,Medium
2020-05-05,427.5599976,431,421.5599976,424.6799927,424.6799927,6286300,414.1374985,456.244651,372.030346,12.95679915,14.64315332,58.15215129,Medium
2020-05-06,429.2999878,439.769989,426.3900146,434.2600098,434.2600098,6660700,417.236499,455.3018099,379.1711882,13.29475924,14.3734745,61.11382467,High
2020-05-07,436.8900146,438.8800049,430.6600037,436.5299988,436.5299988,5641900,420.5069992,452.6716456,388.3423529,13.5891173,14.21660306,61.8036327,High
2020-05-08,434.1400146,442,433.6400146,435.5499878,435.5499878,5049300,423.7484985,446.4668252,401.0301719,13.58670046,14.09062254,61.29807385,High
2020-05-11,436.3299866,444.8900146,435.5599976,440.519989,440.519989,5486000,425.9384979,445.972167,405.9048288,13.82644006,14.03778605,62.95315457,High
2020-05-12,442,444.1700134,431.3599854,431.8200073,431.8200073,4598200,426.8519989,446.1601908,407.543807,13.16268834,13.8627665,58.25661115,Medium
2020-05-13,435.6900024,447,427.269989,438.269989,438.269989,7014600,427.4279984,447.3993167,407.45668,13.00718124,13.69164945,60.60324903,High
2020-05-14,444.8999939,452.3800049,432.8200073,441.9500122,441.9500122,9007500,427.5669983,447.9175159,407.2164807,13.03067831,13.55945522,61.91861871,High
2020-05-15,440.7000122,455,437.5100098,454.1900024,454.1900024,7244000,429.1284988,452.5512772,405.7057205,13.87699942,13.62296406,65.98638011,High
2020-05-18,451.1600037,456.3599854,443.3500061,452.5799866,452.5799866,7773500,429.8829987,455.3249799,404.4410175,14.25349476,13.7490702,65.00280251,High
2020-05-19,453.3999939,458.9700012,450.4700012,451.0400085,451.0400085,4810500,430.7434998,457.8568274,403.6301721,14.26318949,13.85189406,64.01983776,High
2020-05-20,454.25,455.8099976,444,447.6700134,447.6700134,5607300,432.0559998,459.8029992,404.3090003,13.8394101,13.84939727,61.81684961,High
2020-05-21,448.5599976,448.9599915,430.25,436.25,436.25,9117300,432.5334991,460.2210369,404.8459613,12.43867691,13.5672532,54.92000859,Medium
2020-05-22,437,439.0899963,427.1799927,429.3200073,429.3200073,5422300,432.75,460.2562992,405.2437008,10.64666514,12.98313558,51.18784207,Medium
2020-05-26,427.769989,428.5,413.1400146,414.769989,414.769989,7881100,432.4194992,460.650325,404.1886734,7.960652577,11.97863898,44.37015846,Medium
2020-05-27,410.3800049,420.019989,397.8599854,419.8900146,419.8900146,10446300,433.2225006,458.8201332,407.624868,6.173942186,10.81769962,47.04307887,Medium
2020-05-28,417.2399902,422.3699951,411.5,413.4400024,413.4400024,5655100,433.3,458.6337155,407.9662845,4.189208659,9.49200143,44.16421079,Medium
2020-05-29,417.4599915,420.2999878,411.8500061,419.730011,419.730011,5254900,433.2940002,458.641181,407.9468195,3.088244798,8.211250104,47.53601745,Medium
2020-06-01,418.8299866,426.7200012,415.980011,425.9200134,425.9200134,3743700,433.8265015,457.999638,409.6533649,2.68426197,7.105852477,50.69170679,Medium
2020-06-02,425.8699951,427.5899963,419.4599915,427.3099976,427.3099976,3494800,433.7845016,458.0020435,409.5669598,2.448043252,6.174290632,51.3986508,Medium
2020-06-03,426.9500122,427.1000061,418.0499878,421.9700012,421.9700012,4316000,433.6490021,458.1101311,409.187873,1.809091065,5.301250719,48.52054647,Medium
2020-06-04,422.3900146,428.7099915,410.0299988,414.3299866,414.3299866,5410500,432.6525009,458.5882036,406.7167982,0.678411218,4.376682819,44.66684551,Medium
2020-06-05,407.2900085,420.2399902,404.25,419.6000061,419.6000061,5099600,431.8060013,458.3077971,405.3042055,0.205220176,3.54239029,47.74963837,Medium
2020-06-08,416,420.7999878,406.5,419.4899902,419.4899902,5851500,431.0030014,457.9958274,404.0101754,-0.176628432,2.798586546,47.68990553,Medium
2020-06-09,421.6499939,434.730011,420.3099976,434.0499878,434.0499878,6797000,430.6795013,457.3451826,404.0138201,0.687696577,2.376408552,55.60518087,Medium
2020-06-10,436,439.6900024,430.5499878,434.480011,434.480011,4896900,430.8125015,457.5286212,404.0963819,1.391341137,2.179395069,55.81781987,Medium
2020-06-11,428.2000122,445.5700073,424.1600037,425.5599976,425.5599976,7462900,430.177002,456.7504948,403.6035091,1.215205847,1.986557224,50.42276795,Medium
2020-06-12,429,434.0599976,412.4500122,418.0700073,418.0700073,6461100,428.9830017,455.4750175,402.4909859,0.465867515,1.682419283,46.36992668,Medium
2020-06-15,421.3999939,426.4899902,415.4200134,425.5,425.5,4467900,427.5485016,451.2539768,403.8430264,0.466176015,1.439170629,50.61081279,Medium
